================ Training Loss (Sat Nov 29 20:58:22 2025) ================
[Rank 0] (epoch: 2, iters: 640, time: 0.086, data: 0.095) , D_A: 0.136, G_A: 0.469, cycle_A: 3.221, D_B: 0.218, G_B: 0.707, cycle_B: 2.414, clip_style_AtoB: 7.113, clip_style_BtoA: 7.297, edge_AtoB: 3.603

[Rank 0] (epoch: 2, iters: 660, time: 0.121, data: 0.022) , D_A: 0.168, G_A: 0.581, cycle_A: 2.746, D_B: 0.712, G_B: 0.904, cycle_B: 2.231, clip_style_AtoB: 7.062, clip_style_BtoA: 7.309, edge_AtoB: 5.470

[Rank 0] (epoch: 2, iters: 680, time: 0.125, data: 0.065) , D_A: 0.329, G_A: 0.698, cycle_A: 1.825, D_B: 0.290, G_B: 0.478, cycle_B: 1.671, clip_style_AtoB: 7.246, clip_style_BtoA: 7.297, edge_AtoB: 4.392

[Rank 0] (epoch: 2, iters: 700, time: 0.126, data: 0.070) , D_A: 0.081, G_A: 0.385, cycle_A: 2.042, D_B: 0.231, G_B: 0.486, cycle_B: 3.753, clip_style_AtoB: 7.273, clip_style_BtoA: 7.344, edge_AtoB: 3.345

[Rank 0] (epoch: 2, iters: 720, time: 0.123, data: 0.086) , D_A: 0.139, G_A: 0.370, cycle_A: 2.658, D_B: 0.217, G_B: 0.481, cycle_B: 2.160, clip_style_AtoB: 7.078, clip_style_BtoA: 7.375, edge_AtoB: 5.564

[Rank 0] (epoch: 2, iters: 740, time: 0.122, data: 0.071) , D_A: 0.204, G_A: 0.452, cycle_A: 3.710, D_B: 0.180, G_B: 0.539, cycle_B: 1.687, clip_style_AtoB: 7.102, clip_style_BtoA: 7.301, edge_AtoB: 3.686

[Rank 0] (epoch: 2, iters: 760, time: 0.141, data: 0.084) , D_A: 0.165, G_A: 0.780, cycle_A: 2.569, D_B: 0.190, G_B: 0.558, cycle_B: 2.260, clip_style_AtoB: 7.141, clip_style_BtoA: 7.281, edge_AtoB: 3.250

[Rank 0] (epoch: 2, iters: 780, time: 0.140, data: 0.098) , D_A: 0.141, G_A: 0.415, cycle_A: 2.260, D_B: 0.087, G_B: 0.308, cycle_B: 2.650, clip_style_AtoB: 7.051, clip_style_BtoA: 7.297, edge_AtoB: 2.222

